年月,區域別,里數,鄰數,戶數,性別,人口數,遷入人數,遷出人數,出生人數,死亡人數,平地原住民,山地原住民,年齡14歲以下人數,年齡15至64歲人數,年齡65歲以上人數
11005,香山,24,375,28616,男,39971,110,119,26,35,332,224,5044,30166,4761
11005,香山,24,375,28616,女,38708,113,126,24,16,335,335,4673,28435,5600
11006,新竹市,122,2171,172450,男女合計,452619,1447,1403,355,230,2180,2232,76029,316244,60346
11006,新竹市,122,2171,172450,男,223415,701,643,189,125,995,873,39565,157105,26745
11006,新竹市,122,2171,172450,女,229204,746,760,166,105,1185,1359,36464,159139,33601
11006,東區,53,1020,84488,男女合計,221449,754,700,157,99,716,867,44225,149840,27384
11006,東區,53,1020,84488,男,109097,368,322,80,45,308,332,23113,73899,12085
11006,東區,53,1020,84488,女,112352,386,378,77,54,408,535,21112,75941,15299
11006,北區,45,776,59309,男女合計,152432,457,492,125,92,797,803,22070,107815,22547
11006,北區,45,776,59309,男,74308,216,221,65,58,355,316,11385,53035,9888
11006,北區,45,776,59309,女,78124,241,271,60,34,442,487,10685,54780,12659
11006,香山,24,375,28653,男女合計,78738,236,211,73,39,667,562,9734,58589,10415
11006,香山,24,375,28653,男,40010,117,100,44,22,332,225,5067,30171,4772
11006,香山,24,375,28653,女,38728,119,111,29,17,335,337,4667,28418,5643
11007,新竹市,122,2171,172775,男女合計,452807,1890,1761,258,199,2193,2233,75957,316356,60494
11007,新竹市,122,2171,172775,男,223549,885,776,133,108,1003,871,39541,157200,26808
11007,新竹市,122,2171,172775,女,229258,1005,985,125,91,1190,1362,36416,159156,33686
11007,東區,53,1020,84663,男女合計,221541,912,867,138,91,721,859,44220,149879,27442
11007,東區,53,1020,84663,男,109148,425,392,69,51,309,328,23103,73937,12108
11007,東區,53,1020,84663,女,112393,487,475,69,40,412,531,21117,75942,15334
11007,北區,45,776,59428,男女合計,152490,660,604,71,69,802,811,22016,107870,22604
11007,北區,45,776,59428,男,74365,315,263,40,35,359,318,11374,53074,9917
11007,北區,45,776,59428,女,78125,345,341,31,34,443,493,10642,54796,12687
11007,香山,24,375,28684,男女合計,78776,318,290,49,39,670,563,9721,58607,10448
11007,香山,24,375,28684,男,40036,145,121,24,22,335,225,5064,30189,4783
11007,香山,24,375,28684,女,38740,173,169,25,17,335,338,4657,28418,5665
11008,新竹市,122,2171,173286,男女合計,452781,2090,2173,279,222,2202,2239,75810,316195,60776
11008,新竹市,122,2171,173286,男,223599,987,958,138,117,1010,874,39438,157238,26923
11008,新竹市,122,2171,173286,女,229182,1103,1215,141,105,1192,1365,36372,158957,33853
11008,東區,53,1020,84911,男女合計,221387,946,1146,138,92,733,859,44109,149729,27549
11008,東區,53,1020,84911,男,109118,465,522,75,48,312,327,23023,73951,12144
11008,東區,53,1020,84911,女,112269,481,624,63,44,421,532,21086,75778,15405
11008,北區,45,776,59635,男女合計,152619,786,657,90,90,806,814,22018,107880,22721
11008,北區,45,776,59635,男,74449,372,275,36,49,365,322,11375,53114,9960
11008,北區,45,776,59635,女,78170,414,382,54,41,441,492,10643,54766,12761
11008,香山,24,375,28740,男女合計,78775,358,370,51,40,663,566,9683,58586,10506
11008,香山,24,375,28740,男,40032,150,161,27,20,333,225,5040,30173,4819
11008,香山,24,375,28740,女,38743,208,209,24,20,330,341,4643,28413,5687
11009,新竹市,122,2171,173974,男女合計,452882,2480,2451,310,238,2203,2230,75680,316206,60996
11009,新竹市,122,2171,173974,男,223677,1189,1143,162,130,1009,869,39389,157272,27016
11009,新竹市,122,2171,173974,女,229205,1291,1308,148,108,1194,1361,36291,158934,33980
11009,東區,53,1020,85358,男女合計,221565,1316,1193,151,96,737,860,44069,149852,27644
11009,東區,53,1020,85358,男,109240,648,561,86,51,313,326,23038,74022,12180
11009,東區,53,1020,85358,女,112325,668,632,65,45,424,534,21031,75830,15464
11009,北區,45,776,59829,男女合計,152604,778,795,94,92,804,807,21943,107855,22806
11009,北區,45,776,59829,男,74464,383,359,41,50,364,317,11329,53136,9999
11009,北區,45,776,59829,女,78140,395,436,53,42,440,490,10614,54719,12807
11009,香山,24,375,28787,男女合計,78713,386,463,65,50,662,563,9668,58499,10546
11009,香山,24,375,28787,男,39973,158,223,35,29,332,226,5022,30114,4837
11009,香山,24,375,28787,女,38740,228,240,30,21,330,337,4646,28385,5709
11010,新竹市,122,2171,173984,男女合計,452844,1486,1596,305,236,2213,2249,75519,316143,61182
11010,新竹市,122,2171,173984,男,223672,713,723,141,136,1017,876,39301,157285,27086
11010,新竹市,122,2171,173984,女,229172,773,873,164,100,1196,1373,36218,158858,34096
11010,東區,53,1020,85382,男女合計,221610,728,729,162,117,735,875,44034,149841,27735
11010,東區,53,1020,85382,男,109284,356,320,73,65,311,331,23011,74053,12220
11010,東區,53,1020,85382,女,112326,372,409,89,52,424,544,21023,75788,15515
11010,北區,45,776,59816,男女合計,152490,500,622,93,87,813,809,21852,107777,22861
11010,北區,45,776,59816,男,74393,233,297,41,48,371,319,11274,53097,10022
11010,北區,45,776,59816,女,78097,267,325,52,39,442,490,10578,54680,12839
11010,香山,24,375,28786,男女合計,78744,258,245,50,32,665,565,9633,58525,10586
11010,香山,24,375,28786,男,39995,124,106,27,23,335,226,5016,30135,4844
11010,香山,24,375,28786,女,38749,134,139,23,9,330,339,4617,28390,5742
11011,新竹市,122,2171,173970,男女合計,452665,1462,1703,295,233,2218,2249,75394,315864,61407
11011,新竹市,122,2171,173970,男,223581,703,816,153,131,1017,877,39242,157171,27168
11011,新竹市,122,2171,173970,女,229084,759,887,142,102,1201,1372,36152,158693,34239
11011,東區,53,1020,85373,男女合計,221573,754,849,162,104,732,872,43979,149742,27852
11011,東區,53,1020,85373,男,109264,375,423,91,63,305,330,23001,74008,12255
11011,東區,53,1020,85373,女,112309,379,426,71,41,427,542,20978,75734,15597
11011,北區,45,776,59808,男女合計,152422,502,567,80,83,820,817,21800,107687,22935
11011,北區,45,776,59808,男,74364,240,260,35,44,376,322,11242,53067,10055
11011,北區,45,776,59808,女,78058,262,307,45,39,444,495,10558,54620,12880
11011,香山,24,375,28789,男女合計,78670,206,287,53,46,666,560,9615,58435,10620
11011,香山,24,375,28789,男,39953,88,133,27,24,336,225,4999,30096,4858
11011,香山,24,375,28789,女,38717,118,154,26,22,330,335,4616,28339,5762
11012,新竹市,122,2171,174055,男女合計,452640,1793,1883,305,240,2218,2246,75296,315774,61570
11012,新竹市,122,2171,174055,男,223596,824,829,162,142,1018,877,39212,157159,27225
11012,新竹市,122,2171,174055,女,229044,969,1054,143,98,1200,1369,36084,158615,34345
11012,東區,53,1020,85432,男女合計,221651,921,886,152,109,733,866,43992,149730,27929
11012,東區,53,1020,85432,男,109325,440,387,81,73,304,328,23026,74031,12268
11012,東區,53,1020,85432,女,112326,481,499,71,36,429,538,20966,75699,15661
11012,北區,45,776,59829,男女合計,152348,589,668,90,85,819,823,21741,107623,22984
11012,北區,45,776,59829,男,74299,240,305,44,44,376,323,11208,53017,10074
11012,北區,45,776,59829,女,78049,349,363,46,41,443,500,10533,54606,12910
11012,香山,24,375,28794,男女合計,78641,283,329,63,46,666,557,9563,58421,10657
11012,香山,24,375,28794,男,39972,144,137,37,25,338,226,4978,30111,4883
11012,香山,24,375,28794,女,38669,139,192,26,21,328,331,4585,28310,5774
11101,新竹市,122,2170,174167,男女合計,452586,1883,2021,306,222,2229,2245,75231,315607,61748
11101,新竹市,122,2170,174167,男,223622,880,900,165,119,1021,873,39207,157107,27308
11101,新竹市,122,2170,174167,女,228964,1003,1121,141,103,1208,1372,36024,158500,34440
11101,東區,53,1019,85503,男女合計,221713,976,994,165,85,733,867,44016,149698,27999
11101,東區,53,1019,85503,男,109408,462,430,96,45,303,330,23063,74039,12306
11101,東區,53,1019,85503,女,112305,514,564,69,40,430,537,20953,75659,15693
11101,北區,45,776,59853,男女合計,152267,608,680,84,93,827,827,21672,107556,23039
11101,北區,45,776,59853,男,74261,280,313,42,47,381,322,11182,52983,10096
11101,北區,45,776,59853,女,78006,328,367,42,46,446,505,10490,54573,12943
11101,香山,24,375,28811,男女合計,78606,299,347,57,44,669,551,9543,58353,10710
11101,香山,24,375,28811,男,39953,138,157,27,27,337,221,4962,30085,4906
11101,香山,24,375,28811,女,38653,161,190,30,17,332,330,4581,28268,5804
11102,新竹市,122,2170,174124,男女合計,452055,1347,1863,207,222,2230,2243,75049,315027,61979
11102,新竹市,122,2170,174124,男,223361,648,869,98,138,1019,874,39125,156840,27396
11102,新竹市,122,2170,174124,女,228694,699,994,109,84,1211,1369,35924,158187,34583
11102,東區,53,1019,85486,男女合計,221479,687,927,100,94,735,864,43952,149435,28092
11102,東區,53,1019,85486,男,109276,328,451,50,59,302,327,23028,73914,12334
11102,東區,53,1019,85486,女,112203,359,476,50,35,433,537,20924,75521,15758
11102,北區,45,776,59825,男女合計,152016,418,652,67,84,821,828,21573,107320,23123
11102,北區,45,776,59825,男,74164,205,283,31,50,377,326,11144,52887,10133
11102,北區,45,776,59825,女,77852,213,369,36,34,444,502,10429,54433,12990
11102,香山,24,375,28813,男女合計,78560,242,284,40,44,674,551,9524,58272,10764
11102,香山,24,375,28813,男,39921,115,135,17,29,340,221,4953,30039,4929
11102,香山,24,375,28813,女,38639,127,149,23,15,334,330,4571,28233,5835
11103,新竹市,122,2170,174218,男女合計,451689,1994,2373,299,286,2223,2252,74976,314636,62077
11103,新竹市,122,2170,174218,男,223158,943,1137,164,173,1016,883,39123,156622,27413
11103,新竹市,122,2170,174218,女,228531,1051,1236,135,113,1207,1369,35853,158014,34664
11103,東區,53,1020,85528,男女合計,221436,1034,1101,156,132,735,866,44015,149305,28116
11103,東區,53,1020,85528,男,109273,505,522,87,73,302,331,23095,73834,12344
11103,東區,53,1020,85528,女,112163,529,579,69,59,433,535,20920,75471,15772
11103,北區,45,775,59848,男女合計,151838,648,818,94,102,813,831,21524,107164,23150
11103,北區,45,775,59848,男,74071,301,377,47,64,375,332,11130,52811,10130
11103,北區,45,775,59848,女,77767,347,441,47,38,438,499,10394,54353,13020
11103,香山,24,375,28842,男女合計,78415,312,454,49,52,675,555,9437,58167,10811
11103,香山,24,375,28842,男,39814,137,238,30,36,339,220,4898,29977,4939
11103,香山,24,375,28842,女,38601,175,216,19,16,336,335,4539,28190,5872
11104,新竹市,122,2170,174141,男女合計,450494,1612,2840,260,227,2232,2235,74736,313665,62093
11104,新竹市,122,2170,174141,男,222438,771,1508,136,119,1021,874,38967,156090,27381
11104,新竹市,122,2170,174141,女,228056,841,1332,124,108,1211,1361,35769,157575,34712
11104,東區,53,1020,85483,男女合計,220843,793,1419,127,94,737,866,43923,148822,28098
11104,東區,53,1020,85483,男,108889,378,783,68,47,303,332,23020,73550,12319
11104,東區,53,1020,85483,女,111954,415,636,59,47,434,534,20903,75272,15779
11104,北區,45,775,59823,男女合計,151364,560,1025,76,85,818,818,21389,106809,23166
11104,北區,45,775,59823,男,73813,274,528,36,40,378,323,11043,52650,10120
11104,北區,45,775,59823,女,77551,286,497,40,45,440,495,10346,54159,13046
11104,香山,24,375,28835,男女合計,78287,259,396,57,48,677,551,9424,58034,10829
11104,香山,24,375,28835,男,39736,119,197,32,32,340,219,4904,29890,4942
11104,香山,24,375,28835,女,38551,140,199,25,16,337,332,4520,28144,5887
11105,新竹市,122,2170,174297,男女合計,450347,1646,1752,192,233,2237,2230,74538,313558,62251
11105,新竹市,122,2170,174297,男,222335,789,866,107,133,1021,871,38872,156023,27440
11105,新竹市,122,2170,174297,女,228012,857,886,85,100,1216,1359,35666,157535,34811
11105,東區,53,1020,85529,男女合計,220735,783,906,108,93,736,862,43843,148745,28147
11105,東區,53,1020,85529,男,108832,378,449,61,47,302,328,22975,73504,12353
11105,東區,53,1020,85529,女,111903,405,457,47,46,434,534,20868,75241,15794
11105,北區,45,775,59894,男女合計,151348,580,561,50,85,821,811,21344,106770,23234
11105,北區,45,775,59894,男,73789,276,275,24,49,377,321,11035,52613,10141
11105,北區,45,775,59894,女,77559,304,286,26,36,444,490,10309,54157,13093
11105,香山,24,375,28874,男女合計,78264,283,285,34,55,680,557,9351,58043,10870
11105,香山,24,375,28874,男,39714,135,142,22,37,342,222,4862,29906,4946
11105,香山,24,375,28874,女,38550,148,143,12,18,338,335,4489,28137,5924
11106,新竹市,122,2169,174515,男女合計,450464,1724,1512,232,327,2238,2226,74425,313654,62385
11106,新竹市,122,2169,174515,男,222379,797,700,127,180,1020,869,38795,156102,27482
11106,新竹市,122,2169,174515,女,228085,927,812,105,147,1218,1357,35630,157552,34903
11106,東區,53,1019,85637,男女合計,220760,813,741,106,153,737,861,43772,148792,28196
11106,東區,53,1019,85637,男,108851,390,361,62,72,302,326,22931,73550,12370
11106,東區,53,1019,85637,女,111909,423,380,44,81,435,535,20841,75242,15826
11106,北區,45,775,59982,男女合計,151411,595,502,81,111,824,814,21299,106831,23281
11106,北區,45,775,59982,男,73813,272,217,38,69,379,323,11008,52660,10145
11106,北區,45,775,59982,女,77598,323,285,43,42,445,491,10291,54171,13136
11106,香山,24,375,28896,男女合計,78293,316,269,45,63,677,551,9354,58031,10908
11106,香山,24,375,28896,男,39715,135,122,27,39,339,220,4856,29892,4967
11106,香山,24,375,28896,女,38578,181,147,18,24,338,331,4498,28139,5941
11107,新竹市,122,2169,174816,男女合計,450655,2060,1826,236,279,2242,2222,74351,313846,62458
11107,新竹市,122,2169,174816,男,222472,982,862,122,149,1021,863,38756,156204,27512
11107,新竹市,122,2169,174816,女,228183,1078,964,114,130,1221,1359,35595,157642,34946
11107,東區,53,1019,85713,男女合計,220711,864,924,124,113,727,853,43710,148790,28211
11107,東區,53,1019,85713,男,108813,398,450,70,56,300,321,22888,73544,12381
11107,東區,53,1019,85713,女,111898,466,474,54,57,427,532,20822,75246,15830
11107,北區,45,775,60098,男女合計,151536,765,618,78,100,828,810,21300,106911,23325
11107,北區,45,775,60098,男,73905,385,275,36,54,381,321,11019,52728,10158
11107,北區,45,775,60098,女,77631,380,343,42,46,447,489,10281,54183,13167
11107,香山,24,375,29005,男女合計,78408,431,284,34,66,687,559,9341,58145,10922
11107,香山,24,375,29005,男,39754,199,137,16,39,340,221,4849,29932,4973
11107,香山,24,375,29005,女,38654,232,147,18,27,347,338,4492,28213,5949
11108,新竹市,122,2168,175183,男女合計,450836,1972,1772,251,270,74195,313959,62682,2245,2223
11108,新竹市,122,2168,175183,男,222573,890,778,128,139,38659,156305,27609,1024,862
11108,新竹市,122,2168,175183,女,228263,1082,994,123,131,35536,157654,35073,1221,1361
11108,東區,53,1018,85868,男女合計,220747,909,898,127,102,43629,148782,28336,725,857
11108,東區,53,1018,85868,男,108841,412,405,68,47,22833,73577,12431,302,319
11108,東區,53,1018,85868,女,111906,497,493,59,55,20796,75205,15905,423,538
11108,北區,45,775,60221,男女合計,151646,733,570,71,124,21261,107003,23382,831,808
11108,北區,45,775,60221,男,73969,336,235,31,68,10997,52792,10180,383,322
11108,北區,45,775,60221,女,77677,397,335,40,56,10264,54211,13202,448,486
11108,香山,24,375,29094,男女合計,78443,330,304,53,44,9305,58174,10964,689,558
11108,香山,24,375,29094,男,39763,142,138,29,24,4829,29936,4998,339,221
11108,香山,24,375,29094,女,38680,188,166,24,20,4476,28238,5966,350,337
11109,新竹市,122,2168,175571,男女合計,450893,1854,1827,268,238,73993,313928,62972,2244,2225
11109,新竹市,122,2168,175571,男,222600,894,871,136,132,38553,156295,27752,1025,863
11109,新竹市,122,2168,175571,女,228293,960,956,132,106,35440,157633,35220,1219,1362
11109,東區,53,1018,85984,男女合計,220661,815,934,135,102,43489,148691,28481,728,863
11109,東區,53,1018,85984,男,108779,378,454,69,55,22763,73518,12498,305,321
11109,東區,53,1018,85984,女,111882,437,480,66,47,20726,75173,15983,423,542
11109,北區,45,775,60415,男女合計,151756,705,582,83,96,21220,107043,23493,826,810
11109,北區,45,775,60415,男,74035,347,269,38,50,10974,52823,10238,379,325
11109,北區,45,775,60415,女,77721,358,313,45,46,10246,54220,13255,447,485
11109,香山,24,375,29172,男女合計,78476,334,311,50,40,9284,58194,10998,690,552
11109,香山,24,375,29172,男,39786,169,148,29,27,4816,29954,5016,341,217
11109,香山,24,375,29172,女,38690,165,163,21,13,4468,28240,5982,349,335
11110,新竹市,122,2168,175599,男女合計,451203,1447,1173,280,244,2250,2232,73812,314069,63322
11110,新竹市,122,2168,175599,男,222731,650,530,149,138,1027,866,38434,156371,27926
11110,新竹市,122,2168,175599,女,228472,797,643,131,106,1223,1366,35378,157698,35396
11110,東區,53,1018,86031,男女合計,220877,723,548,145,104,735,864,43368,148863,28646
11110,東區,53,1018,86031,男,108872,326,242,72,63,309,322,22679,73622,12571
11110,東區,53,1018,86031,女,112005,397,306,73,41,426,542,20689,75241,16075
11110,北區,45,775,60390,男女合計,151797,473,429,89,92,828,814,21175,107007,23615
11110,北區,45,775,60390,男,74053,210,196,50,46,378,328,10944,52800,10309
11110,北區,45,775,60390,女,77744,263,233,39,46,450,486,10231,54207,13306
11110,香山,24,375,29178,男女合計,78529,251,196,46,48,687,554,9269,58199,11061
11110,香山,24,375,29178,男,39806,114,92,27,29,340,216,4811,29949,5046
11110,香山,24,375,29178,女,38723,137,104,19,19,347,338,4458,28250,6015
11111,新竹市,122,2168,175722,男女合計,451690,1718,1236,266,261,2242,2242,73640,314328,63722
11111,新竹市,122,2168,175722,男,222914,768,574,134,145,1024,870,38332,156469,28113
11111,新竹市,122,2168,175722,女,228776,950,662,132,116,1218,1372,35308,157859,35609
11111,東區,53,1018,86067,男女合計,221165,864,591,137,122,732,866,43277,149064,28824
11111,東區,53,1018,86067,男,108985,396,280,65,68,308,322,22613,73714,12658
11111,東區,53,1018,86067,女,112180,468,311,72,54,424,544,20664,75350,16166
11111,北區,45,775,60458,男女合計,151910,574,449,74,86,822,819,21086,107054,23770
11111,北區,45,775,60458,男,74073,238,212,40,46,376,329,10894,52795,10384
11111,北區,45,775,60458,女,77837,336,237,34,40,446,490,10192,54259,13386
11111,香山,24,375,29197,男女合計,78615,280,196,55,53,688,557,9277,58210,11128
11111,香山,24,375,29197,男,39856,134,82,29,31,340,219,4825,29960,5071
11111,香山,24,375,29197,女,38759,146,114,26,22,348,338,4452,28250,6057
11112,新竹市,122,2167,175991,男女合計,452473,2327,1545,255,254,2247,2246,73597,314823,64053
11112,新竹市,122,2167,175991,男,223265,1087,719,130,147,1026,872,38302,156707,28256
11112,新竹市,122,2167,175991,女,229208,1240,826,125,107,1221,1374,35295,158116,35797
11112,東區,53,1017,86190,男女合計,221657,1178,710,129,105,737,868,43279,149393,28985
11112,東區,53,1017,86190,男,109194,551,355,73,60,310,323,22603,73856,12735
11112,東區,53,1017,86190,女,112463,627,355,56,45,427,545,20676,75537,16250
11112,北區,45,775,60571,男女合計,152118,784,550,80,106,827,822,21068,107162,23888
11112,北區,45,775,60571,男,74192,380,234,34,61,380,329,10895,52874,10423
11112,北區,45,775,60571,女,77926,404,316,46,45,447,493,10173,54288,13465
11112,香山,24,375,29230,男女合計,78698,365,285,46,43,683,556,9250,58268,11180
11112,香山,24,375,29230,男,39879,156,130,23,26,336,220,4804,29977,5098
11112,香山,24,375,29230,女,38819,209,155,23,17,347,336,4446,28291,6082
11201,新竹市,122,2167,176147,男女合計,452928,1912,1419,217,255,2246,2256,73428,315138,64362
11201,新竹市,122,2167,176147,男,223544,949,633,112,149,1023,878,38196,156938,28410
11201,新竹市,122,2167,176147,女,229384,963,786,105,106,1223,1378,35232,158200,35952
11201,東區,53,1017,86238,男女合計,221885,916,682,111,117,737,876,43176,149584,29125
11201,東區,53,1017,86238,男,109329,455,309,53,64,309,329,22523,74000,12806
11201,東區,53,1017,86238,女,112556,461,373,58,53,428,547,20653,75584,16319
11201,北區,45,775,60652,男女合計,152243,678,525,60,88,829,824,20993,107233,24017
11201,北區,45,775,60652,男,74279,339,233,33,52,381,329,10853,52936,10490
11201,北區,45,775,60652,女,77964,339,292,27,36,448,495,10140,54297,13527
11201,香山,24,375,29257,男女合計,78800,318,212,46,50,680,556,9259,58321,11220
11201,香山,24,375,29257,男,39936,155,91,26,33,333,220,4820,30002,5114
11201,香山,24,375,29257,女,38864,163,121,20,17,347,336,4439,28319,6106
11202,新竹市,122,2167,176345,男女合計,453120,1923,1658,206,279,2249,2254,73336,315226,64558
11202,新竹市,122,2167,176345,男,223625,888,768,109,148,1025,882,38135,156987,28503
11202,新竹市,122,2167,176345,女,229495,1035,890,97,131,1224,1372,35201,158239,36055
11202,東區,53,1017,86308,男女合計,222013,954,811,110,125,740,878,43186,149597,29230
11202,東區,53,1017,86308,男,109394,450,390,65,60,312,333,22528,74004,12862
11202,東區,53,1017,86308,女,112619,504,421,45,65,428,545,20658,75593,16368
11202,北區,45,775,60780,男女合計,152332,688,552,57,104,827,818,20922,107341,24069
11202,北區,45,775,60780,男,74303,312,252,25,61,380,327,10809,52988,10506
11202,北區,45,775,60780,女,78029,376,300,32,43,447,491,10113,54353,13563
11202,香山,24,375,29257,男女合計,78775,281,295,39,50,682,558,9228,58288,11259
11202,香山,24,375,29257,男,39928,126,126,19,27,333,222,4798,29995,5135
11202,香山,24,375,29257,女,38847,155,169,20,23,349,336,4430,28293,6124
11203,新竹市,122,2167,176571,男女合計,453536,2177,1704,256,313,2237,2262,73292,315434,64810
11203,新竹市,122,2167,176571,男,223816,1000,763,130,176,1021,889,38061,157130,28625
11203,新竹市,122,2167,176571,女,229720,1177,941,126,137,1216,1373,35231,158304,36185
11203,東區,53,1017,86387,男女合計,222223,1027,806,124,135,734,879,43195,149656,29372
11203,東區,53,1017,86387,男,109498,476,354,60,78,312,339,22506,74063,12929
11203,東區,53,1017,86387,女,112725,551,452,64,57,422,540,20689,75593,16443
11203,北區,45,775,60907,男女合計,152504,787,565,78,128,824,822,20893,107469,24142
11203,北區,45,775,60907,男,74372,351,254,42,70,377,325,10779,53052,10541
11203,北區,45,775,60907,女,78132,436,311,36,58,447,497,10114,54417,13601
11203,香山,24,375,29277,男女合計,78809,363,333,54,50,679,561,9204,58309,11296
11203,香山,24,375,29277,男,39946,173,155,28,28,332,225,4776,30015,5155
11203,香山,24,375,29277,女,38863,190,178,26,22,347,336,4428,28294,6141
11204,新竹市,122,2166,176752,男女合計,453824,1567,1275,213,217,2249,2266,73145,315570,65109
11204,新竹市,122,2166,176752,男,223942,735,590,119,138,1026,890,37972,157205,28765
11204,新竹市,122,2166,176752,女,229882,832,685,94,79,1223,1376,35173,158365,36344
11204,東區,53,1017,86459,男女合計,222388,732,587,111,91,738,870,43128,149740,29520
11204,東區,53,1017,86459,男,109554,327,273,59,57,314,335,22448,74114,12992
11204,東區,53,1017,86459,女,112834,405,314,52,34,424,535,20680,75626,16528
11204,北區,45,774,61015,男女合計,152604,585,468,65,82,831,834,20831,107527,24246
11204,北區,45,774,61015,男,74433,287,211,38,53,380,328,10753,53086,10594
11204,北區,45,774,61015,女,78171,298,257,27,29,451,506,10078,54441,13652
11204,香山,24,375,29278,男女合計,78832,250,220,37,44,680,562,9186,58303,11343
11204,香山,24,375,29278,男,39955,121,106,22,28,332,227,4771,30005,5179
11204,香山,24,375,29278,女,38877,129,114,15,16,348,335,4415,28298,6164
11205,新竹市,122,2166,177122,男女合計,454176,2149,1733,211,275,2263,2269,73028,315778,65370
11205,新竹市,122,2166,177122,男,224115,1012,785,115,169,1035,892,37908,157350,28857
11205,新竹市,122,2166,177122,女,230061,1137,948,96,106,1228,1377,35120,158428,36513
11205,東區,53,1017,86597,男女合計,222624,1068,819,112,125,754,873,43119,149895,29610
11205,東區,53,1017,86597,男,109697,518,369,59,65,320,337,22452,74226,13019
11205,東區,53,1017,86597,女,112927,550,450,53,60,434,536,20667,75669,16591
11205,北區,45,774,61212,男女合計,152746,761,588,65,96,833,836,20770,107614,24362
11205,北區,45,774,61212,男,74488,351,267,39,68,383,328,10719,53128,10641
11205,北區,45,774,61212,女,78258,410,321,26,28,450,508,10051,54486,13721
11205,香山,24,375,29313,男女合計,78806,320,326,34,54,676,560,9139,58269,11398
11205,香山,24,375,29313,男,39930,143,149,17,36,332,227,4737,29996,5197
11205,香山,24,375,29313,女,38876,177,177,17,18,344,333,4402,28273,6201
11206,新竹市,122,2165,177461,男女合計,454603,1905,1442,221,257,2265,2272,72976,316050,65577
11206,新竹市,122,2165,177461,男,224304,886,675,110,132,1038,890,37855,157512,28937
11206,新竹市,122,2165,177461,女,230299,1019,767,111,125,1227,1382,35121,158538,36640
11206,東區,53,1016,86714,男女合計,222776,893,743,108,106,750,872,43116,149966,29694
11206,東區,53,1016,86714,男,109775,417,349,62,52,320,335,22462,74260,13053
11206,東區,53,1016,86714,女,113001,476,394,46,54,430,537,20654,75706,16641
11206,北區,45,774,61406,男女合計,153025,722,419,76,100,838,843,20766,107818,24441
11206,北區,45,774,61406,男,74617,337,191,32,49,386,330,10685,53256,10676
11206,北區,45,774,61406,女,78408,385,228,44,51,452,513,10081,54562,13765
11206,香山,24,375,29341,男女合計,78802,290,280,37,51,677,557,9094,58266,11442
11206,香山,24,375,29341,男,39912,132,135,16,31,332,225,4708,29996,5208
11206,香山,24,375,29341,女,38890,158,145,21,20,345,332,4386,28270,6234
11207,新竹市,122,2165,177796,男女合計,455069,2039,1510,211,274,2258,2284,72949,316309,65811
11207,新竹市,122,2165,177796,男,224528,974,698,113,165,1035,895,37835,157659,29034
11207,新竹市,122,2165,177796,女,230541,1065,812,98,109,1223,1389,35114,158650,36777
11207,東區,53,1016,86802,男女合計,222938,915,750,107,110,748,876,43123,150000,29815
11207,東區,53,1016,86802,男,109870,441,337,57,66,320,337,22459,74306,13105
11207,東區,53,1016,86802,女,113068,474,413,50,44,428,539,20664,75694,16710
11207,北區,45,774,61610,男女合計,153313,810,485,70,107,838,845,20766,108033,24514
11207,北區,45,774,61610,男,74753,387,232,41,60,386,332,10689,53354,10710
11207,北區,45,774,61610,女,78560,423,253,29,47,452,513,10077,54679,13804
11207,香山,24,375,29384,男女合計,78818,314,275,34,57,672,563,9060,58276,11482
11207,香山,24,375,29384,男,39905,146,129,15,39,329,226,4687,29999,5219
11207,香山,24,375,29384,女,38913,168,146,19,18,343,337,4373,28277,6263
11208,新竹市,122,2165,178127,男女合計,455228,2079,1903,254,271,2254,2286,72864,316300,66064
11208,新竹市,122,2165,178127,男,224605,996,887,121,153,1033,900,37774,157695,29136
11208,新竹市,122,2165,178127,女,230623,1083,1016,133,118,1221,1386,35090,158605,36928
11208,東區,53,1016,86876,男女合計,222852,878,964,121,121,750,876,43059,149892,29901
11208,東區,53,1016,86876,男,109825,420,454,56,67,321,338,22425,74266,13134
11208,東區,53,1016,86876,女,113027,458,510,65,54,429,538,20634,75626,16767
11208,北區,45,774,61824,男女合計,153481,842,652,82,104,838,850,20733,108124,24624
11208,北區,45,774,61824,男,74839,405,303,40,56,385,335,10664,53416,10759
11208,北區,45,774,61824,女,78642,437,349,42,48,453,515,10069,54708,13865
11208,香山,24,375,29427,男女合計,78895,359,287,51,46,666,560,9072,58284,11539
11208,香山,24,375,29427,男,39941,171,130,25,30,327,227,4685,30013,5243
11208,香山,24,375,29427,女,38954,188,157,26,16,339,333,4387,28271,6296
11209,新竹市,122,2166,178677,男女合計,455510,2197,1921,236,230,2261,2296,72751,316379,66380
11209,新竹市,122,2166,178677,男,224758,1052,891,125,133,1038,903,37701,157783,29274
11209,新竹市,122,2166,178677,女,230752,1145,1030,111,97,1223,1393,35050,158596,37106
11209,東區,53,1017,87168,男女合計,223061,1087,922,135,91,753,877,43009,149996,30056
11209,東區,53,1017,87168,男,109963,527,407,73,55,323,338,22387,74368,13208
11209,東區,53,1017,87168,女,113098,560,515,62,36,430,539,20622,75628,16848
11209,北區,45,774,62005,男女合計,153567,767,654,65,92,829,855,20718,108121,24728
